title,openreview_link,authors
Achieving Cross Modal Generalization with Multimodal Unified Representation,https://openreview.net/forum?id=t7ZowrDWVw,"Yan Xia, Hai Huang, Jieming Zhu, Zhou Zhao"
Adaptive Online Replanning with Diffusion Models,https://openreview.net/forum?id=jhs8F63xI6,"Siyuan Zhou, Yilun Du, Shun Zhang, Mengdi Xu, Yikang Shen, Wei Xiao, Dit-Yan Yeung, Chuang Gan"
A Comprehensive Benchmark for Neural Human Radiance Fields,https://openreview.net/forum?id=7kc4gtEk3b,"Kenkun Liu, Derong Jin, Ailing Zeng, Xiaoguang Han, Lei Zhang"
MMGP: a Mesh Morphing Gaussian Process-based machine learning method for regression of physical problems under nonparametrized geometrical variability,https://openreview.net/forum?id=Ca78M3awPw,"Fabien Casenave, Brian Staber, Xavier Roynard"
D-Separation for Causal Self-Explanation,https://openreview.net/forum?id=sUFGPYS25Q,"Wei Liu, Jun Wang, Haozhao Wang, Ruixuan Li, Zhiying Deng, YuanKai Zhang, Yang Qiu"
Learning Human Action Recognition Representations Without Real Humans,https://openreview.net/forum?id=UBbm5embIB,"Howard Zhong, Samarth Mishra, Donghyun Kim, SouYoung Jin, Rameswar Panda, Hilde Kuehne, Leonid Karlinsky, Venkatesh Saligrama, Aude Oliva, Rogerio Feris"
Bridging the Domain Gap: Self-Supervised 3D Scene Understanding with Foundation Models,https://openreview.net/forum?id=MJbDy2155j,"Zhimin Chen, Longlong Jing, Yingwei Li, Bing Li"
Generative Modeling through the Semi-dual Formulation of Unbalanced Optimal Transport,https://openreview.net/forum?id=7WQt1J13ex,"Jaemoo Choi, Jaewoong Choi, Myungjoo Kang"
Optimal Time Complexities of Parallel Stochastic Optimization Methods Under a Fixed Computation Model,https://openreview.net/forum?id=B4xF1wfQnF,"Alexander Tyurin, Peter Richtarik"
Implicit Contrastive Representation Learning with Guided Stop-gradient,https://openreview.net/forum?id=XUu2GloTXb,"Byeongchan Lee, Sehyun Lee"
A Computation and Communication Efficient Method for Distributed Nonconvex Problems in the Partial Participation Setting,https://openreview.net/forum?id=loxinzXlCx,"Alexander Tyurin, Peter Richtarik"
Contextually Affinitive Neighborhood Refinery for Deep Clustering,https://openreview.net/forum?id=Psj0jHocm1,"Chunlin Yu, Ye Shi, Jingya Wang"
2Direction: Theoretically Faster Distributed Training with Bidirectional Communication Compression,https://openreview.net/forum?id=n18MhTsSGb,"Alexander Tyurin, Peter Richtarik"
RL-based Stateful Neural Adaptive Sampling and Denoising for Real-Time Path Tracing,https://openreview.net/forum?id=xNyR7DXUzJ,"Antoine Scardigli, Lukas Cavigelli, Lorenz K. Müller"
Score-based Generative Modeling through Stochastic Evolution Equations in Hilbert Spaces,https://openreview.net/forum?id=GrElRvXnEj,"Sungbin Lim, EUN BI YOON, Taehyun Byun, Taewon Kang, Seungwoo Kim, Kyungjae Lee, Sungjoon Choi"
